file	rule	baseline_errors	baseline_warnings	current_errors	current_warnings	delta_errors	delta_warnings	delta_total
artifacts/mockup-sandbox/src/components/ui/calendar.tsx	@typescript-eslint/no-unsafe-member-access	36	0	0	0	-36	0	-36
artifacts/mockup-sandbox/src/components/ui/calendar.tsx	@typescript-eslint/no-unsafe-argument	30	0	0	0	-30	0	-30
server/home-ssr-data.ts	@typescript-eslint/no-unsafe-member-access	26	0	0	0	-26	0	-26
artifacts/mockup-sandbox/src/components/ui/chart.tsx	@typescript-eslint/prefer-nullish-coalescing	15	0	0	0	-15	0	-15
server/home-ssr-data.ts	@typescript-eslint/no-unsafe-assignment	14	0	0	0	-14	0	-14
server/home-ssr-data.ts	@typescript-eslint/prefer-nullish-coalescing	11	0	0	0	-11	0	-11
artifacts/mockup-sandbox/src/components/ui/calendar.tsx	@typescript-eslint/no-unsafe-assignment	8	0	0	0	-8	0	-8
server/og-middleware.ts	@typescript-eslint/no-unsafe-assignment	76	0	70	0	-6	0	-6
server/og-middleware.ts	@typescript-eslint/no-unsafe-member-access	139	0	133	0	-6	0	-6
server/home-ssr-data.ts	@typescript-eslint/no-explicit-any	5	0	0	0	-5	0	-5
server/home-ssr-data.ts	@typescript-eslint/no-unsafe-call	5	0	0	0	-5	0	-5
server/repositories/HomeNavRepository.ts	@typescript-eslint/array-type	0	0	5	0	5	0	5
artifacts/mockup-sandbox/mockupPreviewPlugin.ts	@typescript-eslint/no-unsafe-call	4	0	0	0	-4	0	-4
artifacts/mockup-sandbox/mockupPreviewPlugin.ts	@typescript-eslint/no-unsafe-member-access	4	0	0	0	-4	0	-4
artifacts/mockup-sandbox/src/components/ui/calendar.tsx	@typescript-eslint/no-unsafe-call	4	0	0	0	-4	0	-4
artifacts/mockup-sandbox/src/components/ui/chart.tsx	@typescript-eslint/no-unnecessary-type-assertion	4	0	0	0	-4	0	-4
artifacts/mockup-sandbox/src/components/ui/chart.tsx	@typescript-eslint/no-unsafe-assignment	4	0	0	0	-4	0	-4
artifacts/mockup-sandbox/mockupPreviewPlugin.ts	@typescript-eslint/no-unsafe-argument	3	0	0	0	-3	0	-3
artifacts/mockup-sandbox/src/components/mockups/brand-kit/ColorType.tsx	@typescript-eslint/no-unsafe-assignment	3	0	0	0	-3	0	-3
server/og-middleware.ts	@typescript-eslint/no-unsafe-argument	13	0	10	0	-3	0	-3
artifacts/mockup-sandbox/mockupPreviewPlugin.ts	@typescript-eslint/array-type	2	0	0	0	-2	0	-2
artifacts/mockup-sandbox/src/components/mockups/brand-kit/ColorType.tsx	@typescript-eslint/no-explicit-any	2	0	0	0	-2	0	-2
artifacts/mockup-sandbox/src/components/ui/form.tsx	@typescript-eslint/consistent-type-definitions	2	0	0	0	-2	0	-2
artifacts/mockup-sandbox/src/components/ui/toggle-group.tsx	@typescript-eslint/prefer-nullish-coalescing	2	0	0	0	-2	0	-2
client/src/components/ui/chip-button.tsx	react/prop-types	0	0	2	0	2	0	2
client/src/main.tsx	@typescript-eslint/no-unnecessary-type-assertion	2	0	0	0	-2	0	-2
server/home-ssr-data.ts	@typescript-eslint/no-unsafe-return	2	0	0	0	-2	0	-2
server/og-middleware.ts	@typescript-eslint/array-type	2	0	4	0	2	0	2
server/repositories/HomeNavRepository.ts	@typescript-eslint/consistent-type-definitions	0	0	2	0	2	0	2
.cache/ms-playwright/chromium-1223/chrome-linux64/resources/accessibility/reading_mode_gdocs_helper/content.js	parsing-error	0	0	1	0	1	0	1
.cache/ms-playwright/chromium-1223/chrome-linux64/resources/accessibility/reading_mode_gdocs_helper/gdocs_script.js	parsing-error	0	0	1	0	1	0	1
.cache/ms-playwright/chromium-1223/chrome-linux64/resources/inspector_overlay/main.js	parsing-error	0	0	1	0	1	0	1
.cache/parity-task/lint-diff.mjs	parsing-error	0	0	1	0	1	0	1
.cache/parity-task/mutation-guards.mjs	parsing-error	0	0	1	0	1	0	1
.cache/parity-task/parity-eslint.config.mjs	parsing-error	0	0	1	0	1	0	1
.cache/parity-task/verify-run.cjs	parsing-error	0	0	1	0	1	0	1
.local/custom_skills/ak-docs-seeker/scripts/analyze-llms-txt.js	parsing-error	0	0	1	0	1	0	1
.local/custom_skills/ak-docs-seeker/scripts/detect-topic.js	parsing-error	0	0	1	0	1	0	1
.local/custom_skills/ak-docs-seeker/scripts/fetch-docs.js	parsing-error	0	0	1	0	1	0	1
.local/custom_skills/ak-docs-seeker/scripts/tests/run-tests.js	parsing-error	0	0	1	0	1	0	1
.local/custom_skills/ak-docs-seeker/scripts/tests/test-analyze-llms.js	parsing-error	0	0	1	0	1	0	1
.local/custom_skills/ak-docs-seeker/scripts/tests/test-detect-topic.js	parsing-error	0	0	1	0	1	0	1
.local/custom_skills/ak-docs-seeker/scripts/tests/test-fetch-docs.js	parsing-error	0	0	1	0	1	0	1
.local/custom_skills/ak-docs-seeker/scripts/utils/env-loader.js	parsing-error	0	0	1	0	1	0	1
.local/custom_skills/ak-show-off/scripts/capture-sections.js	parsing-error	0	0	1	0	1	0	1
.local/custom_skills/ak-show-off/scripts/preferences.js	parsing-error	0	0	1	0	1	0	1
.local/custom_skills/ak-show-off/scripts/preferences.test.js	parsing-error	0	0	1	0	1	0	1
.local/custom_skills/ak-web-testing/scripts/analyze-test-results.js	parsing-error	0	0	1	0	1	0	1
.local/custom_skills/ak-web-testing/scripts/init-playwright.js	parsing-error	0	0	1	0	1	0	1
.local/custom_skills/e2e-validate/scripts/web-validator.mjs	parsing-error	0	0	1	0	1	0	1
.local/custom_skills/playwright-skill/lib/helpers.js	parsing-error	0	0	1	0	1	0	1
.local/custom_skills/playwright-skill/run.js	parsing-error	0	0	1	0	1	0	1
