rule	baseline_errors	baseline_warnings	current_errors	current_warnings	delta_errors	delta_warnings	delta_total
parsing-error	152	0	279	0	127	0	127
@typescript-eslint/no-unsafe-member-access	1376	0	1303	0	-73	0	-73
@typescript-eslint/no-unsafe-argument	343	0	306	0	-37	0	-37
@typescript-eslint/no-unsafe-assignment	808	0	771	0	-37	0	-37
@typescript-eslint/prefer-nullish-coalescing	634	0	604	0	-30	0	-30
@typescript-eslint/no-unsafe-call	198	0	184	0	-14	0	-14
@typescript-eslint/no-explicit-any	664	0	655	0	-9	0	-9
@typescript-eslint/no-unnecessary-type-assertion	74	0	68	0	-6	0	-6
@typescript-eslint/array-type	79	0	82	0	3	0	3
@typescript-eslint/no-unsafe-return	128	0	125	0	-3	0	-3
@typescript-eslint/no-unused-vars	105	0	102	0	-3	0	-3
@typescript-eslint/consistent-type-definitions	42	0	40	0	-2	0	-2
react/prop-types	3	0	5	0	2	0	2
@typescript-eslint/no-redundant-type-constituents	7	0	6	0	-1	0	-1
@typescript-eslint/prefer-regexp-exec	51	0	50	0	-1	0	-1
@typescript-eslint/restrict-template-expressions	2	0	1	0	-1	0	-1
@typescript-eslint/ban-ts-comment	3	0	3	0	0	0	0
@typescript-eslint/consistent-generic-constructors	7	0	7	0	0	0	0
@typescript-eslint/consistent-indexed-object-style	10	0	10	0	0	0	0
@typescript-eslint/dot-notation	1	0	1	0	0	0	0
@typescript-eslint/no-base-to-string	12	0	12	0	0	0	0
@typescript-eslint/no-empty-function	5	0	5	0	0	0	0
@typescript-eslint/no-empty-object-type	1	0	1	0	0	0	0
@typescript-eslint/no-floating-promises	117	0	117	0	0	0	0
@typescript-eslint/no-inferrable-types	30	0	30	0	0	0	0
@typescript-eslint/no-misused-promises	207	0	207	0	0	0	0
@typescript-eslint/no-unused-expressions	1	0	1	0	0	0	0
@typescript-eslint/non-nullable-type-assertion-style	9	0	9	0	0	0	0
@typescript-eslint/prefer-for-of	1	0	1	0	0	0	0
@typescript-eslint/prefer-includes	1	0	1	0	0	0	0
@typescript-eslint/prefer-optional-chain	47	0	47	0	0	0	0
@typescript-eslint/prefer-promise-reject-errors	4	0	4	0	0	0	0
@typescript-eslint/prefer-string-starts-ends-with	9	0	9	0	0	0	0
@typescript-eslint/require-await	13	0	13	0	0	0	0
no-control-regex	12	0	12	0	0	0	0
no-empty	2	0	2	0	0	0	0
no-misleading-character-class	3	0	3	0	0	0	0
no-useless-escape	44	0	44	0	0	0	0
prefer-const	12	0	12	0	0	0	0
react-hooks/exhaustive-deps	0	11	0	11	0	0	0
react-hooks/rules-of-hooks	1	0	1	0	0	0	0
react-refresh/only-export-components	0	10	0	10	0	0	0
react/jsx-no-comment-textnodes	12	0	12	0	0	0	0
react/no-unescaped-entities	72	0	72	0	0	0	0
react/no-unknown-property	1	0	1	0	0	0	0
unused-eslint-disable-directive	0	2	0	2	0	0	0
