category-explorer line 325 renders subcategory.resources?.length (tree DIRECT resources)
vs real DB count for that subcategory name. Mismatch = wrong number shown to user.

cat                    subcategory              tree.resources.len  DB-count  MATCH?
Community & Events     Community Groups                          2         4   WRONG
Community & Events     Events & Conferences                      4         6   WRONG
Encoding & Codecs      Codecs                                   11        27   WRONG
Encoding & Codecs      Encoding Tools                          160       225   WRONG
General Tools          DRM                                      17        17      OK
General Tools          FFMPEG & Tools                            0         0      OK
Infrastructure & Deli  Cloud & CDN                               4         9   WRONG
Infrastructure & Deli  Streaming Servers                        31        35   WRONG
Intro & Learning       Introduction                              3         3      OK
Intro & Learning       Learning Resources                       36        36      OK
Intro & Learning       Tutorials & Case Studie                  59        59      OK
Media Tools            Ads & QoE                                 9        45   WRONG
Media Tools            Audio & Subtitles                        10        56   WRONG
Players & Clients      Hardware Players                          5        35   WRONG
Players & Clients      Mobile & Web Players                     15        78   WRONG
Protocols & Transport  Adaptive Streaming                       31       139   WRONG
Protocols & Transport  Transport Protocols                       8         9   WRONG
Standards & Industry   Specs & Standards                        25        34   WRONG
Standards & Industry   Vendors & HDR                             3         5   WRONG

MISMATCHED subcategory rows: 14 of 19
