                 List of relations
 Schema |         Name          | Type  |  Owner   
--------+-----------------------+-------+----------
 public | api_keys              | table | postgres
 public | awesome_lists         | table | postgres
 public | categories            | table | postgres
 public | enrichment_jobs       | table | postgres
 public | enrichment_queue      | table | postgres
 public | github_sync_history   | table | postgres
 public | github_sync_queue     | table | postgres
 public | journey_steps         | table | postgres
 public | learning_journeys     | table | postgres
 public | research_discoveries  | table | postgres
 public | research_jobs         | table | postgres
 public | resource_audit_log    | table | postgres
 public | resource_edits        | table | postgres
 public | resource_tags         | table | postgres
 public | resources             | table | postgres
 public | sessions              | table | postgres
 public | sub_subcategories     | table | postgres
 public | subcategories         | table | postgres
 public | tags                  | table | postgres
 public | user_bookmarks        | table | postgres
 public | user_favorites        | table | postgres
 public | user_interactions     | table | postgres
 public | user_journey_progress | table | postgres
 public | user_preferences      | table | postgres
 public | users                 | table | postgres
(25 rows)

